순번,영화명,주연 top50 출연 여부,배급사,수상내역,국적,국적,전국 스크린수,전국 매출액,전국 관객수,장르,경쟁작,가족,공연,공포(호러),기타,다큐멘터리,드라마,멜로/로맨스,뮤지컬,미스터리,범죄,사극,스릴러,애니메이션,액션,어드벤처,전쟁,코미디,판타지,SF,러닝타임,연휴 및 기념일 상영 여부,네티즌 평점,top영화감독 여부,연작,원작,수상,전체관람가,12세관람가,15세관람가,19세관람가,연휴기간 상영여부 (연휴 기간 상영 영화중 점유율 TOP2% (104개정도이고 최저 점유율 대략 17.7%)),연휴기간 상영여부 (연휴 기간 상영 영화중 점유율 TOP5% (260개이고 최저 점유율 대략 7.6%))
60,인셉션,1,0,23,0,미국,528 ,44106546302 ,5926948 ,드라마,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,147,1,9.23,1,0,0,0,0,1,0,0,0,0
61,레미제라블,1,0,15,0,미국,696 ,43044999000 ,5911890 ,드라마,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,158,0,8.38,0,0,1,0,0,1,0,0,0,1
62,캡틴 마블,1,1,1,0,미국,2100 ,51491272223 ,5801069 ,액션,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,123,0,6.75,0,0,0,0,0,1,0,0,0,0
63,쥬라기 월드: 폴른 킹덤,1,0,0,0,미국,1972 ,49770711037 ,5661128 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,127,0,8.01,0,1,1,0,0,1,0,0,0,0
64,청년경찰,1,1,3,1,한국,1102 ,44241099316 ,5636259 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,109,0,8.26,0,0,0,0,0,0,1,0,0,0
65,숨바꼭질,0,1,2,1,한국,779 ,39593038500 ,5602543 ,스릴러,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 ,107,0,6.76,0,0,0,0,0,0,1,0,0,0
66,덕혜옹주,1,1,9,1,한국,964 ,44344141109 ,5593551 ,사극,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 ,127,0,8.35,0,0,0,0,0,1,0,0,1,1
67,더 테러 라이브,1,1,7,1,한국,743 ,39866712881 ,5583596 ,범죄,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,97,0,8.28,0,0,0,0,0,0,1,0,0,0
68,쥬라기 월드,1,0,0,0,미국,1290 ,47800698826 ,5546792 ,액션,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,125,0,7.88,0,1,1,0,0,1,0,0,0,0
69,의형제,1,1,5,1,한국,572 ,40800867602 ,5507106 ,드라마,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,116,1,8.86,1,0,0,0,0,0,1,0,1,1
70,감시자들,1,1,3,1,한국,949 ,39298005179 ,5496547 ,범죄,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,119,0,7.76,1,0,0,0,0,0,1,0,0,0
71,앤트맨과 와스프,0,1,0,0,미국,1775 ,47465443185 ,5447826 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,118,0,8.62,0,1,0,0,0,1,0,0,0,0
72,닥터 스트레인지,1,0,3,0,미국,1503 ,47482530396 ,5446379 ,액션,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,115,0,8.71,0,1,0,0,0,1,0,0,0,0
73,검은 사제들,1,1,8,1,한국,1088 ,42395347092 ,5440945 ,미스터리,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0 ,108,0,8.32,0,1,0,0,0,0,1,0,0,0
74,안시성,0,1,4,1,한국,1540 ,46335334026 ,5440186 ,사극,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 ,135,1,7.99,0,0,0,0,0,1,0,0,1,1
75,블랙 팬서,1,1,18,0,미국,1620 ,45883143457 ,5398994 ,액션,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,135,0,7.5,0,1,0,0,0,1,0,0,1,1
76,완득이,1,1,1,1,한국,500 ,38530503500 ,5310510 ,드라마,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,107,0,8.79,0,0,0,0,0,1,0,0,0,0
77,트랜스포머: 사라진 시대,1,1,0,0,미국,1602 ,44012272845 ,5295801 ,액션,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,164,0,6.58,1,1,0,0,0,1,0,0,0,0
78,완벽한 타인,1,1,4,1,한국,1313 ,44356752474 ,5294119 ,드라마,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,115,0,8.61,0,0,0,0,0,0,1,0,0,0
79,조커,0,0,15,0,미국,1418 ,45442252130 ,5255228 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,123,0,8.66,0,0,0,0,0,0,1,0,0,0
80,월드 워 Z,0,1,1,0,미국,964 ,38555357000 ,5237525 ,드라마,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,115,0,8.23,0,0,1,0,0,0,1,0,0,0
81,타워,1,1,0,1,한국,617 ,37654858000 ,5181014 ,드라마,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,121,0,8.04,0,0,0,0,0,1,0,0,1,1
82,미녀와 야수,0,1,3,0,미국,1627 ,42130589579 ,5137993 ,멜로/로맨스,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0 ,129,0,9.24,0,0,0,0,1,0,0,0,0,0
83,독전,1,1,10,1,한국,1357 ,43484892913 ,5063620 ,범죄,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,123,0,7.52,0,0,0,0,0,0,1,0,0,0
84,쿵푸팬더 2,0,1,0,0,미국,948 ,44298724500 ,5062722 ,애니메이션,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 ,91,0,8.71,0,1,0,0,1,0,0,0,1,1
85,아쿠아맨,0,0,0,0,미국,1285 ,44113456704 ,5038134 ,액션,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,143,1,8.36,0,0,0,0,0,1,0,0,1,1
86,공작,1,1,29,1,한국,1317 ,42759410176 ,4971261 ,드라마,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,137,0,6.83,1,0,0,0,0,1,0,0,0,0
87,인사이드 아웃,0,0,18,0,미국,777 ,38015586936 ,4968687 ,애니메이션,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 ,102,0,9.07,0,0,0,0,1,0,0,0,0,0
88,킹스맨: 골든 서클,1,0,0,0,미국,1687 ,40987484736 ,4945484 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,141,1,8.36,0,1,0,0,0,0,0,1,1,1
89,마스터,1,1,0,1,한국,1501 ,39811539665 ,4940091 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,143,0,8.11,1,0,0,0,0,0,1,0,1,1
90,바람과 함께 사라지다,1,1,0,1,한국,694 ,34524377161 ,4897551 ,코미디,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,121,0,9.23,0,0,1,0,0,1,0,0,0,0
91,마션,1,1,3,0,미국,1132 ,39612764295 ,4875494 ,액션,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,144,0,8.42,0,0,1,0,0,1,0,0,1,1
92,토르: 라그나로크,1,1,0,0,미국,1640 ,39248432595 ,4857152 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,130,0,8.84,0,1,0,0,0,1,0,0,0,0
93,어메이징 스파이더맨,0,0,0,0,미국,1118 ,41163951235 ,4853123 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,136,0,7.75,0,1,0,0,0,1,0,0,0,0
94,"님아, 그 강을 건너지 마오",0,0,1,1,한국,206 ,37354452679 ,4801355 ,다큐멘터리,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 ,86,0,9.23,0,0,0,1,1,0,0,0,0,1
95,조선명탐정 : 각시투구꽃의 비밀,1,1,1,1,한국,611 ,35841769500 ,4786259 ,코미디,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 ,115,1,8.12,0,0,1,0,0,1,0,0,1,1
96,봉오동 전투,1,1,6,1,한국,1476 ,40514276538 ,4779501 ,사극,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 ,135,0,7.94,0,0,0,0,0,0,1,0,0,0
97,군도: 민란의 시대,1,1,10,1,한국,1394 ,36987755999 ,4774895 ,사극,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 ,137,0,6.94,1,0,0,0,0,0,1,0,0,0
98,남산의 부장들,1,1,10,1,한국,1659 ,41223596650 ,4750104 ,드라마,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 ,114,1,7.48,0,0,0,0,0,0,1,0,1,1
99,라이온 킹,0,1,1,0,미국,1936 ,41518977430 ,4743184 ,어드벤처,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0 ,118,0,9.29,0,0,0,0,1,0,0,0,0,0
100,범죄와의 전쟁: 나쁜놈들 전성시대,1,1,11,1,한국,699 ,36479147500 ,4710454 ,범죄,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,133,0,8.64,1,1,0,0,0,0,0,1,0,0
101,주토피아,0,0,10,0,미국,661 ,37077444042 ,4703245 ,애니메이션,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 ,108,0,9.36,0,0,0,0,1,0,0,0,0,0
102,엣지 오브 투모로우,1,0,2,0,미국,801 ,38703942201 ,4697142 ,액션,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 ,113,1,8.95,0,0,0,0,0,1,0,0,1,1
103,신세계,1,1,4,1,한국,671 ,34881330905 ,4682492 ,범죄,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0 ,134,0,8.93,0,0,0,0,0,0,0,1,1,1
104,신비한 동물사전,0,0,0,0,미국,1431 ,39337263058 ,4666993 ,어드벤처,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0 ,134,1,8.18,0,1,0,0,0,1,0,0,0,0
